Produto	Descri?’o	Qtd	Custo unit	Previs’o de recebimento	recebido				
4466	Produto 4466	360	R$ 3.395,00	17/09/2025	N’o				
2836	Produto 2836	372	R$ 3.086,00	29/08/2025	Sim				
4019	Produto 4019	241	R$ 409,00	26/09/2025	Sim				
4717	Produto 4717	238	R$ 409,00	21/10/2025	N’o				
2492	Produto 2492	290	R$ 3.792,00	10/10/2025	N’o				
400	Produto 400	383	R$ 232,00	04/10/2025	N’o				
1393	Produto 1393	281	R$ 497,00	25/09/2025	Sim				
3953	Produto 3953	217	R$ 1.222,00	08/09/2025	N’o				
1120	Produto 1120	211	R$ 1.384,00	14/10/2025	Sim				
3434	Produto 3434	274	R$ 883,00	22/09/2025	Sim				
201	Produto 201	328	R$ 3.894,00	27/09/2025	Sim				
1011	Produto 1011	322	R$ 1.174,00	20/10/2025	N’o				
1480	Produto 1480	380	R$ 437,00	14/09/2025	Sim				
3187	Produto 3187	320	R$ 1.035,00	29/08/2025	N’o				
1555	Produto 1555	329	R$ 2.770,00	27/08/2025	Sim				
2217	Produto 2217	383	R$ 1.468,00	17/09/2025	Sim				
2902	Produto 2902	367	R$ 3.681,00	26/09/2025	Sim				
4270	Produto 4270	206	R$ 3.576,00	14/09/2025	Sim				
2835	Produto 2835	393	R$ 1.120,00	22/10/2025	Sim				
1667	Produto 1667	338	R$ 3.488,00	26/10/2025	Sim				
3580	Produto 3580	346	R$ 3.674,00	25/10/2025	Sim				
2430	Produto 2430	285	R$ 1.348,00	18/09/2025	Sim				
2571	Produto 2571	215	R$ 1.379,00	07/09/2025	Sim				
4757	Produto 4757	236	R$ 3.508,00	22/10/2025	N’o				
2752	Produto 2752	213	R$ 3.700,00	22/09/2025	Sim				
4516	Produto 4516	331	R$ 3.874,00	06/10/2025	N’o				
1229	Produto 1229	333	R$ 2.741,00	26/09/2025	N’o				
1945	Produto 1945	399	R$ 3.661,00	14/09/2025	N’o				
3587	Produto 3587	324	R$ 3.461,00	27/08/2025	N’o				
4521	Produto 4521	311	R$ 311,00	13/09/2025	N’o				
2811	Produto 2811	295	R$ 3.834,00	05/09/2025	Sim				
933	Produto 933	362	R$ 2.840,00	19/09/2025	Sim				
2300	Produto 2300	380	R$ 2.659,00	18/10/2025	N’o				
4020	Produto 4020	352	R$ 1.966,00	03/09/2025	Sim				
3253	Produto 3253	393	R$ 1.835,00	15/10/2025	Sim				
4336	Produto 4336	369	R$ 298,00	06/10/2025	Sim				
4158	Produto 4158	301	R$ 2.961,00	16/10/2025	N’o				
2502	Produto 2502	286	R$ 825,00	17/09/2025	N’o				
4453	Produto 4453	228	R$ 3.300,00	03/09/2025	N’o				
1121	Produto 1121	368	R$ 2.965,00	19/09/2025	N’o				
365	Produto 365	366	R$ 3.264,00	27/08/2025	Sim				
2920	Produto 2920	322	R$ 1.034,00	19/09/2025	N’o				
1915	Produto 1915	200	R$ 1.966,00	11/10/2025	N’o				
332	Produto 332	270	R$ 1.811,00	17/10/2025	N’o				
232	Produto 232	203	R$ 711,00	14/09/2025	N’o				
2176	Produto 2176	285	R$ 2.397,00	27/09/2025	N’o				
4062	Produto 4062	265	R$ 2.072,00	26/10/2025	N’o				
3816	Produto 3816	367	R$ 204,00	06/09/2025	Sim				
4859	Produto 4859	278	R$ 610,00	07/10/2025	Sim				
1720	Produto 1720	345	R$ 386,00	08/09/2025	Sim				
4536	Produto 4536	319	R$ 3.174,00	23/09/2025	N’o				
1214	Produto 1214	297	R$ 760,00	09/10/2025	N’o				
2908	Produto 2908	273	R$ 2.230,00	12/09/2025	Sim				
4901	Produto 4901	278	R$ 2.551,00	08/09/2025	N’o				
4713	Produto 4713	332	R$ 3.947,00	27/08/2025	N’o				
961	Produto 961	278	R$ 1.845,00	27/09/2025	Sim				
2435	Produto 2435	201	R$ 3.094,00	22/09/2025	Sim				
4411	Produto 4411	290	R$ 2.016,00	08/10/2025	N’o				
4580	Produto 4580	263	R$ 734,00	25/09/2025	Sim				
4181	Produto 4181	391	R$ 1.566,00	03/09/2025	N’o				
1209	Produto 1209	310	R$ 3.614,00	20/09/2025	N’o				
1060	Produto 1060	360	R$ 2.745,00	18/10/2025	Sim				
2973	Produto 2973	228	R$ 1.489,00	19/10/2025	Sim				
3930	Produto 3930	210	R$ 3.086,00	10/10/2025	Sim				
3478	Produto 3478	374	R$ 2.039,00	13/10/2025	N’o				
924	Produto 924	243	R$ 1.651,00	09/09/2025	Sim				
2750	Produto 2750	287	R$ 3.277,00	29/08/2025	Sim				
2816	Produto 2816	300	R$ 2.146,00	19/09/2025	Sim				
4311	Produto 4311	241	R$ 3.866,00	15/09/2025	N’o				
1832	Produto 1832	393	R$ 3.855,00	06/10/2025	Sim				
2014	Produto 2014	201	R$ 3.066,00	01/10/2025	N’o				
748	Produto 748	396	R$ 1.907,00	24/10/2025	N’o				
4884	Produto 4884	205	R$ 1.481,00	10/10/2025	Sim				
3564	Produto 3564	268	R$ 3.176,00	15/10/2025	N’o				
1579	Produto 1579	387	R$ 709,00	23/09/2025	N’o				
3130	Produto 3130	216	R$ 3.377,00	10/10/2025	Sim				
3571	Produto 3571	344	R$ 993,00	25/09/2025	Sim				
4002	Produto 4002	327	R$ 1.478,00	06/10/2025	N’o				
4877	Produto 4877	385	R$ 1.630,00	05/10/2025	Sim				
3411	Produto 3411	354	R$ 1.825,00	21/09/2025	N’o				
1240	Produto 1240	333	R$ 3.170,00	01/10/2025	Sim				
2416	Produto 2416	400	R$ 3.850,00	31/08/2025	Sim				
2728	Produto 2728	342	R$ 986,00	02/10/2025	Sim				
4056	Produto 4056	303	R$ 1.318,00	26/10/2025	Sim				
3680	Produto 3680	385	R$ 1.034,00	02/10/2025	N’o				
1681	Produto 1681	320	R$ 409,00	16/09/2025	N’o				
3670	Produto 3670	283	R$ 2.242,00	29/08/2025	N’o				
2073	Produto 2073	356	R$ 2.388,00	29/09/2025	Sim				
2144	Produto 2144	335	R$ 2.690,00	20/09/2025	N’o				
3453	Produto 3453	294	R$ 347,00	17/10/2025	Sim				
4756	Produto 4756	236	R$ 2.510,00	02/10/2025	N’o				
1891	Produto 1891	220	R$ 753,00	04/10/2025	Sim				
225	Produto 225	289	R$ 698,00	01/09/2025	Sim				
3578	Produto 3578	254	R$ 1.213,00	02/09/2025	N’o				
1549	Produto 1549	242	R$ 3.911,00	13/09/2025	Sim				
3754	Produto 3754	217	R$ 978,00	18/09/2025	Sim				
1909	Produto 1909	395	R$ 3.201,00	07/09/2025	N’o				
490	Produto 490	396	R$ 238,00	06/09/2025	Sim				
2887	Produto 2887	395	R$ 1.350,00	17/09/2025	Sim				
4393	Produto 4393	350	R$ 3.037,00	23/10/2025	N’o				
3637	Produto 3637	254	R$ 368,00	10/09/2025	Sim				
1543	Produto 1543	332	R$ 1.818,00	06/09/2025	Sim				
2593	Produto 2593	349	R$ 3.923,00	07/10/2025	N’o				
1339	Produto 1339	257	R$ 377,00	28/08/2025	Sim				
4013	Produto 4013	364	R$ 1.695,00	29/08/2025	Sim				
2092	Produto 2092	400	R$ 2.007,00	27/08/2025	N’o				
1224	Produto 1224	315	R$ 1.915,00	19/10/2025	Sim				
3452	Produto 3452	323	R$ 454,00	16/10/2025	Sim				
1666	Produto 1666	289	R$ 964,00	10/09/2025	N’o				
719	Produto 719	355	R$ 1.932,00	12/09/2025	N’o				
1934	Produto 1934	356	R$ 2.443,00	26/09/2025	N’o				
3661	Produto 3661	245	R$ 2.823,00	03/09/2025	N’o				
2261	Produto 2261	347	R$ 2.259,00	27/08/2025	Sim				
4341	Produto 4341	221	R$ 2.623,00	20/10/2025	N’o				
218	Produto 218	213	R$ 2.599,00	27/08/2025	Sim				
3257	Produto 3257	400	R$ 1.648,00	01/09/2025	Sim				
4596	Produto 4596	240	R$ 3.993,00	12/09/2025	Sim				
800	Produto 800	377	R$ 932,00	27/08/2025	Sim				
3894	Produto 3894	225	R$ 3.301,00	23/10/2025	N’o				
3297	Produto 3297	328	R$ 2.294,00	22/09/2025	N’o				
4484	Produto 4484	337	R$ 3.394,00	30/08/2025	Sim				
702	Produto 702	361	R$ 2.887,00	03/09/2025	Sim				
2984	Produto 2984	237	R$ 2.246,00	08/10/2025	N’o				
2935	Produto 2935	263	R$ 3.250,00	08/09/2025	N’o				
851	Produto 851	235	R$ 2.842,00	14/09/2025	Sim				
3998	Produto 3998	243	R$ 2.865,00	27/09/2025	Sim				
2785	Produto 2785	387	R$ 200,00	16/09/2025	N’o				
1295	Produto 1295	314	R$ 2.196,00	30/09/2025	N’o				
1628	Produto 1628	202	R$ 1.356,00	04/09/2025	Sim				
1024	Produto 1024	273	R$ 3.311,00	12/09/2025	N’o				
3229	Produto 3229	245	R$ 659,00	20/10/2025	Sim				
4597	Produto 4597	324	R$ 632,00	28/09/2025	N’o				
1174	Produto 1174	297	R$ 3.427,00	18/10/2025	N’o				
640	Produto 640	285	R$ 1.103,00	14/10/2025	Sim				
4685	Produto 4685	255	R$ 2.956,00	11/10/2025	N’o				
2146	Produto 2146	303	R$ 1.026,00	11/09/2025	N’o				
2237	Produto 2237	367	R$ 2.799,00	21/09/2025	Sim				
4961	Produto 4961	241	R$ 1.170,00	28/09/2025	N’o				
3888	Produto 3888	383	R$ 1.212,00	01/10/2025	N’o				
3211	Produto 3211	272	R$ 241,00	23/10/2025	Sim				
3449	Produto 3449	268	R$ 3.281,00	28/08/2025	N’o				
1740	Produto 1740	315	R$ 1.460,00	29/08/2025	N’o				
3880	Produto 3880	370	R$ 280,00	07/10/2025	Sim				
2306	Produto 2306	337	R$ 1.115,00	03/09/2025	Sim				
1095	Produto 1095	236	R$ 360,00	16/10/2025	N’o				
3274	Produto 3274	326	R$ 1.141,00	12/09/2025	N’o				
1478	Produto 1478	237	R$ 1.772,00	09/09/2025	Sim				
2469	Produto 2469	203	R$ 1.026,00	24/09/2025	N’o				
2164	Produto 2164	237	R$ 1.436,00	24/09/2025	Sim				
1234	Produto 1234	265	R$ 3.998,00	22/10/2025	Sim				
658	Produto 658	305	R$ 3.248,00	12/10/2025	N’o				
2837	Produto 2837	241	R$ 2.907,00	29/09/2025	N’o				
1200	Produto 1200	335	R$ 3.993,00	26/09/2025	Sim				
4061	Produto 4061	305	R$ 3.024,00	08/09/2025	Sim				
3734	Produto 3734	367	R$ 839,00	27/08/2025	N’o				
4507	Produto 4507	309	R$ 3.715,00	06/10/2025	N’o				
436	Produto 436	384	R$ 1.347,00	27/09/2025	Sim				
1875	Produto 1875	367	R$ 1.683,00	13/10/2025	N’o				
2867	Produto 2867	354	R$ 2.611,00	16/10/2025	N’o				
1712	Produto 1712	258	R$ 2.043,00	23/09/2025	Sim				
755	Produto 755	350	R$ 3.128,00	27/08/2025	Sim				
3036	Produto 3036	293	R$ 675,00	23/10/2025	Sim				
3980	Produto 3980	373	R$ 989,00	21/10/2025	Sim				
1753	Produto 1753	270	R$ 3.966,00	10/10/2025	N’o				
1580	Produto 1580	386	R$ 3.756,00	11/10/2025	Sim				
4989	Produto 4989	300	R$ 2.215,00	31/08/2025	Sim				
3435	Produto 3435	274	R$ 3.402,00	05/10/2025	Sim				
2663	Produto 2663	218	R$ 1.472,00	08/10/2025	Sim				
4330	Produto 4330	363	R$ 2.713,00	17/10/2025	N’o				
4359	Produto 4359	202	R$ 3.025,00	05/10/2025	Sim				
2389	Produto 2389	398	R$ 3.917,00	30/09/2025	N’o				
1224	Produto 1224	286	R$ 3.828,00	04/10/2025	Sim				
3413	Produto 3413	349	R$ 3.648,00	28/08/2025	N’o				
2560	Produto 2560	304	R$ 2.284,00	08/10/2025	N’o				
4894	Produto 4894	370	R$ 2.599,00	16/09/2025	Sim				
2959	Produto 2959	247	R$ 329,00	12/09/2025	Sim				
3770	Produto 3770	277	R$ 1.145,00	11/09/2025	Sim				
2411	Produto 2411	288	R$ 3.653,00	16/09/2025	Sim				
3087	Produto 3087	361	R$ 1.040,00	13/09/2025	N’o				
3218	Produto 3218	200	R$ 908,00	01/10/2025	N’o				
699	Produto 699	263	R$ 1.707,00	24/10/2025	Sim				
1149	Produto 1149	242	R$ 2.588,00	12/10/2025	Sim				
1662	Produto 1662	281	R$ 481,00	31/08/2025	N’o				
1862	Produto 1862	340	R$ 1.634,00	19/10/2025	Sim				
786	Produto 786	342	R$ 307,00	09/09/2025	Sim				
3529	Produto 3529	242	R$ 2.178,00	08/09/2025	N’o				
3411	Produto 3411	244	R$ 3.581,00	02/10/2025	Sim				
1508	Produto 1508	337	R$ 2.026,00	12/10/2025	Sim				
1481	Produto 1481	396	R$ 382,00	12/10/2025	N’o				
825	Produto 825	311	R$ 1.995,00	24/09/2025	Sim				
1960	Produto 1960	340	R$ 1.638,00	08/09/2025	Sim				
494	Produto 494	205	R$ 1.585,00	09/09/2025	Sim				
350	Produto 350	296	R$ 460,00	05/10/2025	Sim				
2902	Produto 2902	318	R$ 2.656,00	27/08/2025	N’o				
3430	Produto 3430	253	R$ 287,00	22/09/2025	N’o				
642	Produto 642	240	R$ 3.542,00	19/10/2025	Sim				
1307	Produto 1307	317	R$ 829,00	16/10/2025	Sim				
4138	Produto 4138	328	R$ 247,00	08/10/2025	Sim				
3726	Produto 3726	351	R$ 974,00	02/09/2025	N’o				
1484	Produto 1484	338	R$ 1.813,00	21/09/2025	Sim				
3008	Produto 3008	372	R$ 1.206,00	08/09/2025	N’o				
4330	Produto 4330	362	R$ 1.881,00	14/09/2025	N’o				
4568	Produto 4568	265	R$ 2.867,00	29/09/2025	N’o				
636	Produto 636	380	R$ 1.860,00	07/09/2025	Sim				
4635	Produto 4635	232	R$ 3.778,00	30/08/2025	N’o				
515	Produto 515	375	R$ 3.838,00	03/10/2025	N’o				
3733	Produto 3733	239	R$ 3.842,00	28/08/2025	N’o				
1328	Produto 1328	301	R$ 1.972,00	10/09/2025	Sim				
937	Produto 937	299	R$ 2.140,00	30/08/2025	N’o				
2163	Produto 2163	317	R$ 2.515,00	13/10/2025	Sim				
4223	Produto 4223	253	R$ 1.277,00	05/10/2025	N’o				
1498	Produto 1498	328	R$ 3.638,00	18/09/2025	Sim				
1370	Produto 1370	246	R$ 1.834,00	02/10/2025	Sim				
4120	Produto 4120	392	R$ 236,00	10/10/2025	Sim				
1023	Produto 1023	373	R$ 374,00	15/10/2025	Sim				
3663	Produto 3663	242	R$ 3.081,00	10/09/2025	N’o				
3751	Produto 3751	386	R$ 813,00	22/10/2025	N’o				
1139	Produto 1139	323	R$ 2.567,00	30/09/2025	Sim				
3622	Produto 3622	242	R$ 2.233,00	26/09/2025	Sim				
899	Produto 899	333	R$ 1.491,00	17/09/2025	Sim				
2689	Produto 2689	203	R$ 864,00	26/10/2025	Sim				
1328	Produto 1328	357	R$ 1.486,00	28/08/2025	N’o				
1020	Produto 1020	355	R$ 3.000,00	18/10/2025	Sim				
2405	Produto 2405	318	R$ 942,00	30/09/2025	Sim				
995	Produto 995	370	R$ 2.816,00	07/09/2025	N’o				
3477	Produto 3477	329	R$ 1.238,00	29/09/2025	N’o				
1135	Produto 1135	319	R$ 453,00	01/10/2025	Sim				
4411	Produto 4411	246	R$ 1.540,00	16/10/2025	Sim				
402	Produto 402	226	R$ 3.919,00	23/09/2025	N’o				
2065	Produto 2065	384	R$ 2.699,00	22/10/2025	N’o				
2501	Produto 2501	332	R$ 2.590,00	24/10/2025	Sim				
2256	Produto 2256	379	R$ 1.631,00	24/10/2025	Sim				
2092	Produto 2092	353	R$ 3.937,00	01/10/2025	Sim				
1333	Produto 1333	379	R$ 1.954,00	11/09/2025	N’o				
4588	Produto 4588	237	R$ 3.340,00	19/10/2025	N’o				
4882	Produto 4882	308	R$ 2.084,00	25/10/2025	Sim				
3894	Produto 3894	216	R$ 3.941,00	12/09/2025	Sim				
1301	Produto 1301	340	R$ 823,00	04/09/2025	Sim				
750	Produto 750	323	R$ 3.741,00	22/09/2025	N’o				
746	Produto 746	256	R$ 1.018,00	02/10/2025	Sim				
700	Produto 700	321	R$ 3.962,00	24/10/2025	N’o				
3096	Produto 3096	380	R$ 2.894,00	15/10/2025	Sim				
2232	Produto 2232	212	R$ 1.100,00	16/10/2025	N’o				
4349	Produto 4349	330	R$ 3.728,00	12/09/2025	N’o				
2529	Produto 2529	278	R$ 3.581,00	24/09/2025	N’o				
4590	Produto 4590	347	R$ 354,00	29/08/2025	N’o				
2897	Produto 2897	400	R$ 915,00	15/10/2025	N’o				
386	Produto 386	395	R$ 478,00	17/10/2025	N’o				
1235	Produto 1235	264	R$ 2.100,00	04/10/2025	N’o				
1366	Produto 1366	381	R$ 2.455,00	31/08/2025	N’o				
2223	Produto 2223	209	R$ 3.704,00	23/10/2025	N’o				
1929	Produto 1929	232	R$ 1.668,00	18/09/2025	N’o				
1658	Produto 1658	338	R$ 2.112,00	27/08/2025	Sim				
3176	Produto 3176	248	R$ 1.827,00	15/09/2025	Sim				
4547	Produto 4547	328	R$ 1.445,00	06/10/2025	Sim				
1401	Produto 1401	233	R$ 324,00	15/09/2025	Sim				
2762	Produto 2762	388	R$ 1.990,00	09/09/2025	Sim				
4606	Produto 4606	205	R$ 2.052,00	27/09/2025	Sim				
1566	Produto 1566	236	R$ 280,00	21/10/2025	Sim				
415	Produto 415	219	R$ 237,00	05/10/2025	Sim				
3260	Produto 3260	314	R$ 2.031,00	04/10/2025	Sim				
897	Produto 897	383	R$ 3.005,00	07/09/2025	Sim				
4604	Produto 4604	236	R$ 3.470,00	15/09/2025	N’o				
3836	Produto 3836	265	R$ 1.031,00	11/10/2025	N’o				
4466	Produto 4466	346	R$ 483,00	16/09/2025	N’o				
817	Produto 817	222	R$ 2.977,00	19/09/2025	N’o				
2622	Produto 2622	216	R$ 1.767,00	17/10/2025	N’o				
2151	Produto 2151	330	R$ 2.947,00	20/09/2025	Sim				
311	Produto 311	372	R$ 1.293,00	20/10/2025	N’o				
4691	Produto 4691	366	R$ 1.149,00	26/09/2025	N’o				
3454	Produto 3454	246	R$ 3.212,00	06/09/2025	Sim				
1636	Produto 1636	205	R$ 1.275,00	19/09/2025	N’o				
1664	Produto 1664	289	R$ 2.705,00	11/10/2025	N’o				
3603	Produto 3603	238	R$ 2.234,00	11/10/2025	N’o				
1370	Produto 1370	382	R$ 1.704,00	20/09/2025	Sim				
3072	Produto 3072	304	R$ 1.791,00	13/09/2025	Sim				
2651	Produto 2651	221	R$ 2.067,00	07/09/2025	Sim				
2036	Produto 2036	294	R$ 1.181,00	25/10/2025	N’o				
3945	Produto 3945	210	R$ 2.299,00	06/09/2025	N’o				
733	Produto 733	229	R$ 3.980,00	22/09/2025	Sim				
1688	Produto 1688	206	R$ 910,00	23/10/2025	Sim				
3581	Produto 3581	208	R$ 3.765,00	25/10/2025	N’o				
407	Produto 407	341	R$ 2.457,00	12/09/2025	Sim				
3591	Produto 3591	340	R$ 3.617,00	01/10/2025	N’o				
4142	Produto 4142	260	R$ 3.259,00	27/09/2025	Sim				
1369	Produto 1369	306	R$ 1.784,00	04/09/2025	Sim				
3139	Produto 3139	207	R$ 1.278,00	10/10/2025	Sim				
2113	Produto 2113	322	R$ 2.226,00	06/10/2025	N’o				
4669	Produto 4669	332	R$ 3.215,00	30/08/2025	Sim				
2799	Produto 2799	378	R$ 1.033,00	22/09/2025	Sim				
1182	Produto 1182	388	R$ 477,00	31/08/2025	N’o				
3074	Produto 3074	398	R$ 2.459,00	17/10/2025	Sim				
428	Produto 428	362	R$ 655,00	04/10/2025	N’o				
3254	Produto 3254	269	R$ 205,00	09/10/2025	N’o				
1873	Produto 1873	277	R$ 239,00	24/10/2025	N’o				
209	Produto 209	362	R$ 1.560,00	02/09/2025	N’o				
4284	Produto 4284	222	R$ 1.343,00	02/09/2025	N’o				
4759	Produto 4759	279	R$ 2.338,00	26/09/2025	N’o				
3310	Produto 3310	367	R$ 3.675,00	10/10/2025	N’o				
3398	Produto 3398	317	R$ 3.526,00	19/10/2025	N’o				
4845	Produto 4845	339	R$ 3.500,00	14/09/2025	Sim				
2619	Produto 2619	204	R$ 1.208,00	27/08/2025	Sim				
3168	Produto 3168	330	R$ 512,00	30/08/2025	N’o				
4447	Produto 4447	397	R$ 2.273,00	06/09/2025	Sim				
2939	Produto 2939	239	R$ 1.144,00	27/09/2025	Sim				
3332	Produto 3332	344	R$ 3.989,00	18/09/2025	Sim				
3216	Produto 3216	235	R$ 2.621,00	24/09/2025	N’o				
1345	Produto 1345	202	R$ 987,00	02/10/2025	N’o				
2233	Produto 2233	397	R$ 3.037,00	07/10/2025	N’o				
1762	Produto 1762	353	R$ 999,00	01/09/2025	N’o				
577	Produto 577	293	R$ 3.934,00	05/10/2025	Sim				
4491	Produto 4491	267	R$ 884,00	12/09/2025	Sim				
3476	Produto 3476	207	R$ 553,00	10/10/2025	N’o				
1793	Produto 1793	396	R$ 2.028,00	17/10/2025	N’o				
4347	Produto 4347	247	R$ 944,00	19/09/2025	Sim				
2825	Produto 2825	217	R$ 3.786,00	13/09/2025	N’o				
2663	Produto 2663	214	R$ 749,00	18/09/2025	Sim				
4978	Produto 4978	290	R$ 3.884,00	30/09/2025	Sim				
4468	Produto 4468	263	R$ 240,00	31/08/2025	Sim				
3726	Produto 3726	333	R$ 1.451,00	02/09/2025	N’o				
2346	Produto 2346	279	R$ 1.446,00	14/10/2025	N’o				
4424	Produto 4424	238	R$ 3.774,00	07/09/2025	Sim				
4877	Produto 4877	236	R$ 1.637,00	11/09/2025	Sim				
4126	Produto 4126	377	R$ 1.463,00	12/10/2025	Sim				
1124	Produto 1124	388	R$ 3.050,00	06/10/2025	N’o				
4092	Produto 4092	268	R$ 3.698,00	02/09/2025	Sim				
2732	Produto 2732	210	R$ 2.467,00	01/09/2025	Sim				
2786	Produto 2786	294	R$ 692,00	24/09/2025	Sim				
696	Produto 696	231	R$ 2.424,00	15/09/2025	N’o				
3159	Produto 3159	309	R$ 1.934,00	19/09/2025	N’o				
1641	Produto 1641	208	R$ 2.764,00	14/10/2025	N’o				
849	Produto 849	238	R$ 493,00	18/09/2025	N’o				
3294	Produto 3294	397	R$ 1.444,00	14/09/2025	N’o				
4869	Produto 4869	263	R$ 3.235,00	10/10/2025	Sim				
2517	Produto 2517	379	R$ 2.828,00	21/09/2025	Sim				
749	Produto 749	212	R$ 391,00	06/10/2025	N’o				
4118	Produto 4118	392	R$ 2.707,00	27/09/2025	Sim				
3638	Produto 3638	238	R$ 204,00	05/09/2025	Sim				
4295	Produto 4295	227	R$ 1.497,00	03/09/2025	N’o				
2796	Produto 2796	244	R$ 1.511,00	01/10/2025	N’o				
2815	Produto 2815	395	R$ 3.431,00	22/10/2025	Sim				
3523	Produto 3523	253	R$ 3.765,00	28/09/2025	N’o				
865	Produto 865	206	R$ 1.540,00	16/10/2025	N’o				
232	Produto 232	316	R$ 1.461,00	29/08/2025	N’o				
1223	Produto 1223	275	R$ 1.412,00	04/09/2025	Sim				
627	Produto 627	341	R$ 1.212,00	25/09/2025	N’o				
286	Produto 286	381	R$ 273,00	02/09/2025	N’o				
544	Produto 544	210	R$ 3.342,00	18/10/2025	Sim				
230	Produto 230	285	R$ 2.741,00	09/10/2025	N’o				
734	Produto 734	216	R$ 2.586,00	06/10/2025	N’o				
217	Produto 217	275	R$ 2.506,00	22/10/2025	Sim				
4257	Produto 4257	342	R$ 465,00	08/10/2025	N’o				
3033	Produto 3033	290	R$ 2.667,00	31/08/2025	Sim				
1175	Produto 1175	200	R$ 3.342,00	09/09/2025	Sim				
3923	Produto 3923	218	R$ 486,00	01/09/2025	Sim				
3674	Produto 3674	330	R$ 2.159,00	30/08/2025	N’o				
4485	Produto 4485	219	R$ 1.991,00	02/10/2025	Sim				
1761	Produto 1761	311	R$ 2.291,00	15/10/2025	Sim				
1812	Produto 1812	223	R$ 3.998,00	18/10/2025	Sim				
2144	Produto 2144	384	R$ 1.734,00	27/08/2025	N’o				
2001	Produto 2001	283	R$ 2.535,00	20/10/2025	Sim				
1119	Produto 1119	389	R$ 2.958,00	14/09/2025	N’o				
634	Produto 634	258	R$ 1.364,00	05/09/2025	N’o				
2101	Produto 2101	283	R$ 2.756,00	14/09/2025	N’o				
419	Produto 419	365	R$ 1.460,00	05/10/2025	N’o				
3361	Produto 3361	350	R$ 1.005,00	18/10/2025	Sim				
3900	Produto 3900	396	R$ 240,00	01/09/2025	Sim				
4237	Produto 4237	205	R$ 3.034,00	10/10/2025	Sim				
4778	Produto 4778	226	R$ 972,00	26/09/2025	N’o				
606	Produto 606	319	R$ 1.767,00	30/08/2025	Sim				
2733	Produto 2733	264	R$ 329,00	23/10/2025	Sim				
1804	Produto 1804	279	R$ 2.749,00	29/09/2025	N’o				
2156	Produto 2156	335	R$ 3.147,00	18/09/2025	N’o				
4024	Produto 4024	309	R$ 2.771,00	07/10/2025	N’o				
2760	Produto 2760	355	R$ 3.249,00	26/09/2025	N’o				
3101	Produto 3101	261	R$ 1.902,00	23/09/2025	N’o				
2893	Produto 2893	247	R$ 352,00	18/10/2025	Sim				
2331	Produto 2331	357	R$ 2.191,00	05/09/2025	Sim				
3015	Produto 3015	274	R$ 1.284,00	25/09/2025	Sim				
4977	Produto 4977	233	R$ 3.520,00	27/09/2025	N’o				
2739	Produto 2739	362	R$ 686,00	17/09/2025	N’o				
1320	Produto 1320	323	R$ 2.567,00	01/10/2025	N’o				
1009	Produto 1009	215	R$ 1.231,00	04/09/2025	Sim				
4054	Produto 4054	268	R$ 2.729,00	23/09/2025	Sim				
3822	Produto 3822	396	R$ 737,00	31/08/2025	Sim				
4381	Produto 4381	383	R$ 1.077,00	03/09/2025	Sim				
3639	Produto 3639	217	R$ 2.668,00	23/10/2025	Sim				
2485	Produto 2485	297	R$ 1.909,00	27/09/2025	Sim				
1119	Produto 1119	328	R$ 279,00	11/10/2025	N’o				
1720	Produto 1720	320	R$ 2.533,00	08/10/2025	Sim				
1249	Produto 1249	269	R$ 1.021,00	15/09/2025	N’o				
2007	Produto 2007	276	R$ 2.657,00	23/09/2025	N’o				
1990	Produto 1990	264	R$ 2.561,00	19/09/2025	N’o				
4231	Produto 4231	377	R$ 2.199,00	08/09/2025	N’o				
3574	Produto 3574	393	R$ 258,00	01/09/2025	Sim				
2666	Produto 2666	343	R$ 3.375,00	01/10/2025	N’o				
1553	Produto 1553	262	R$ 749,00	07/09/2025	N’o				
1538	Produto 1538	214	R$ 2.248,00	04/10/2025	N’o				
1267	Produto 1267	263	R$ 2.281,00	09/10/2025	N’o				
4474	Produto 4474	201	R$ 413,00	02/10/2025	Sim				
3589	Produto 3589	325	R$ 419,00	23/10/2025	Sim				
3806	Produto 3806	280	R$ 2.663,00	04/09/2025	N’o				
4688	Produto 4688	352	R$ 1.100,00	19/10/2025	Sim				
1546	Produto 1546	205	R$ 226,00	11/10/2025	Sim				
532	Produto 532	305	R$ 979,00	27/09/2025	Sim				
1715	Produto 1715	351	R$ 1.033,00	14/09/2025	Sim				
736	Produto 736	315	R$ 3.838,00	30/09/2025	N’o				
759	Produto 759	244	R$ 1.344,00	22/10/2025	N’o				
4270	Produto 4270	281	R$ 1.756,00	28/09/2025	N’o				
2186	Produto 2186	235	R$ 2.743,00	07/10/2025	N’o				
1595	Produto 1595	232	R$ 3.915,00	10/10/2025	Sim				
4405	Produto 4405	305	R$ 3.076,00	19/10/2025	Sim				
1041	Produto 1041	212	R$ 1.359,00	04/09/2025	Sim				
2608	Produto 2608	279	R$ 3.577,00	24/10/2025	Sim				
3817	Produto 3817	259	R$ 3.006,00	19/10/2025	Sim				
3901	Produto 3901	375	R$ 1.162,00	06/09/2025	Sim				
2742	Produto 2742	237	R$ 3.100,00	06/09/2025	Sim				
907	Produto 907	340	R$ 288,00	24/09/2025	Sim				
4081	Produto 4081	334	R$ 2.892,00	22/09/2025	N’o				
1046	Produto 1046	355	R$ 2.076,00	07/10/2025	Sim				
